station_name,latitude,longitude,drybulb,wetbulb
"RENO-TAHOE, NV, USA (WMO: 724880)",39.484,-119.771,"[('n5years', '39.6'), ('n10years', '40.4'), ('n20years', '41.2'), ('n50years', '42.2')]","[('n5years', '19.8'), ('n10years', '20.4'), ('n20years', '21.0'), ('n50years', '21.7')]"
"WASHINGTON DULLES, VA, USA (WMO: 724030)",38.977,-77.486,"[('n5years', '37.5'), ('n10years', '38.6'), ('n20years', '39.7'), ('n50years', '41.2')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.6'), ('n50years', '29.3')]"
"HENDERSON EXECUTIVE, NV, USA (WMO: 722096)",35.976,-115.133,"[('n5years', '45.7'), ('n10years', '46.4'), ('n20years', '47.1'), ('n50years', '48.0')]","[('n5years', '23.5'), ('n10years', '24.0'), ('n20years', '24.4'), ('n50years', '24.9')]"
"HENDERSON EXECUTIVE, NV, USA (WMO: 722096)",35.976,-115.133,"[('n5years', '45.7'), ('n10years', '46.4'), ('n20years', '47.1'), ('n50years', '48.0')]","[('n5years', '23.5'), ('n10years', '24.0'), ('n20years', '24.4'), ('n50years', '24.9')]"
"WASHINGTON DULLES, VA, USA (WMO: 724030)",38.977,-77.486,"[('n5years', '37.5'), ('n10years', '38.6'), ('n20years', '39.7'), ('n50years', '41.2')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.6'), ('n50years', '29.3')]"
"WASHINGTON DULLES, VA, USA (WMO: 724030)",38.977,-77.486,"[('n5years', '37.5'), ('n10years', '38.6'), ('n20years', '39.7'), ('n50years', '41.2')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.6'), ('n50years', '29.3')]"
"WASHINGTON DULLES, VA, USA (WMO: 724030)",38.977,-77.486,"[('n5years', '37.5'), ('n10years', '38.6'), ('n20years', '39.7'), ('n50years', '41.2')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.6'), ('n50years', '29.3')]"
"RENO-TAHOE, NV, USA (WMO: 724880)",39.484,-119.771,"[('n5years', '39.6'), ('n10years', '40.4'), ('n20years', '41.2'), ('n50years', '42.2')]","[('n5years', '19.8'), ('n10years', '20.4'), ('n20years', '21.0'), ('n50years', '21.7')]"
"RENO-TAHOE, NV, USA (WMO: 724880)",39.484,-119.771,"[('n5years', '39.6'), ('n10years', '40.4'), ('n20years', '41.2'), ('n50years', '42.2')]","[('n5years', '19.8'), ('n10years', '20.4'), ('n20years', '21.0'), ('n50years', '21.7')]"
"LOS ANGELES USC, CA, USA (WMO: 722874)",34.024,-118.291,"[('n5years', '39.5'), ('n10years', '40.9'), ('n20years', '42.3'), ('n50years', '44.1')]","[('n5years', '24.1'), ('n10years', '24.6'), ('n20years', '25.0'), ('n50years', '25.6')]"
"COLUMBIA GORGE, WA, USA (WMO: 726988)",45.619,-121.166,"[('n5years', '41.5'), ('n10years', '42.4'), ('n20years', '43.3'), ('n50years', '44.4')]","[('n5years', '22.9'), ('n10years', '23.3'), ('n20years', '23.8'), ('n50years', '24.3')]"
"PHOENIX SKY HARBOR, AZ, USA (WMO: 722780)",33.428,-112.004,"[('n5years', '47.0'), ('n10years', '47.7'), ('n20years', '48.5'), ('n50years', '49.4')]","[('n5years', '25.9'), ('n10years', '26.5'), ('n20years', '27.1'), ('n50years', '27.9')]"
"COLUMBUS GLENN, OH, USA (WMO: 724280)",39.991,-82.877,"[('n5years', '35.7'), ('n10years', '36.5'), ('n20years', '37.4'), ('n50years', '38.5')]","[('n5years', '26.8'), ('n10years', '27.3'), ('n20years', '27.8'), ('n50years', '28.5')]"
"PORTLAND HILLSBORO, OR, USA (WMO: 726986)",45.541,-122.949,"[('n5years', '38.9'), ('n10years', '40.1'), ('n20years', '41.2'), ('n50years', '42.7')]","[('n5years', '25.0'), ('n10years', '26.2'), ('n20years', '27.4'), ('n50years', '28.9')]"
"COLUMBUS GLENN, OH, USA (WMO: 724280)",39.991,-82.877,"[('n5years', '35.7'), ('n10years', '36.5'), ('n20years', '37.4'), ('n50years', '38.5')]","[('n5years', '26.8'), ('n10years', '27.3'), ('n20years', '27.8'), ('n50years', '28.5')]"
"COUNCIL BLUFFS, IA, USA (WMO: 725497)",41.259,-95.760,"[('n5years', '37.2'), ('n10years', '37.8'), ('n20years', '38.5'), ('n50years', '39.4')]","[('n5years', '30.0'), ('n10years', '30.8'), ('n20years', '31.5'), ('n50years', '32.5')]"
"MANASSAS, VA, USA (WMO: 724036)",38.721,-77.515,"[('n5years', '36.8'), ('n10years', '37.6'), ('n20years', '38.4'), ('n50years', '39.5')]","[('n5years', '27.3'), ('n10years', '27.9'), ('n20years', '28.4'), ('n50years', '29.1')]"
"EASTERN IOWA, IA, USA (WMO: 725450)",41.883,-91.717,"[('n5years', '35.8'), ('n10years', '36.9'), ('n20years', '37.9'), ('n50years', '39.2')]","[('n5years', '28.6'), ('n10years', '29.2'), ('n20years', '29.7'), ('n50years', '30.5')]"
